Kanal;Brend;Tip para;Kosinusna slicnost;Skor
Carrie Dayton;Skillshare;ukrsteni;0.1758;30.1
Abbey Yung;Audible;ukrsteni;0.1801;31.59
Anjeez;Skillshare;ukrsteni;0.1711;28.46
The Bite Shot;ThredUp;ukrsteni;0.1651;26.37
THE WADS;Audible;ukrsteni;0.1326;15.07
Ellen Fisher;ThredUp;stvarni;0.2063;40.71
Doctor Mike;Skillshare;ukrsteni;0.1744;29.61
KianAndJc;Skillshare;ukrsteni;0.1646;26.2
Jazza;Function of Beauty;ukrsteni;0.1559;23.17
Hazel Goddesss;ThredUp;ukrsteni;0.2007;38.76
Anjeez;ThredUp;ukrsteni;0.1813;32.01
KianAndJc;Function of Beauty;ukrsteni;0.136;16.25
Eric Rosen;Audible;stvarni;0.1517;21.71
REGRETLYSS;Skillshare;stvarni;0.1534;22.3
TomKat Stitchery;Audible;ukrsteni;0.1403;17.75
Abbey Yung;ThredUp;ukrsteni;0.1941;36.46
Hannah - The Outfit Repeater;Skillshare;ukrsteni;0.1552;22.93
Hazel Goddesss;Skillshare;ukrsteni;0.1711;28.46
Kenna;ThredUp;ukrsteni;0.1577;23.8
Doctor Mike;Function of Beauty;ukrsteni;0.1249;12.39
THE WADS;Function of Beauty;ukrsteni;0.0893;0.0
Plant Based Bride;ThredUp;ukrsteni;0.1841;32.99
REGRETLYSS;ThredUp;ukrsteni;0.1339;15.52
Plant Based Bride;Function of Beauty;ukrsteni;0.141;17.99
Sailing La Vagabonde;Skillshare;ukrsteni;0.1301;14.2
Hazel Goddesss;Audible;ukrsteni;0.1529;22.13
Primink;Skillshare;stvarni;0.1535;22.34
Bekah & Co.;ThredUp;ukrsteni;0.179;31.21
Danielle Kirsty;ThredUp;ukrsteni;0.1793;31.32
Dong ASMR;Function of Beauty;ukrsteni;0.1273;13.22
KianAndJc;ThredUp;ukrsteni;0.1773;30.62
Emma Chamberlain;Skillshare;ukrsteni;0.1358;16.18
Dr Dray;ThredUp;ukrsteni;0.1652;26.41
THE WADS;Skillshare;ukrsteni;0.1215;11.2
Jazza;ThredUp;ukrsteni;0.1425;18.51
Plant Based Bride;Skillshare;stvarni;0.1469;20.04
Abby Cox;Skillshare;ukrsteni;0.132;14.86
Gibi ASMR;ThredUp;ukrsteni;0.1415;18.16
THE WADS;ThredUp;stvarni;0.1009;4.04
Eric Rosen;Function of Beauty;ukrsteni;0.0815;0.0
Dong ASMR;ThredUp;ukrsteni;0.0793;0.0
Eric Rosen;ThredUp;ukrsteni;0.0815;0.0
Doctor Mike;ThredUp;ukrsteni;0.0886;0.0
